Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210371,2021,12/13/2021,Danbury,157 SHELTER ROCK RD 1,113700,230000,0.4943,Residential,Condo,,L14113-1,,POINT (-73.418486003 41.397500993)
210165,2021,07/27/2022,Essex,22 ROSEWOOD LA,225700,500000,0.4514,Residential,Single Family,,,,POINT (-72.453093013 41.351716021)
210288,2021,08-09-2022,East Hampton,134 MIDDLE HADDAM RD,223650,370000,0.6044,Residential,Single Family,,,,POINT (-72.545394028 41.545626992)
210569,2021,08-08-2022,Branford,14 WAKEFIELD RD,1616400,2550000,0.6338,Residential,Single Family,,WATERFRONT,,POINT (-72.820977006 41.255536993)
210030,2021,02-08-2022,Bethlehem,582 MAIN ST S,204800,340000,0.6023,Residential,Single Family,06 - Portion of Property,SUBDIVISION OF LOT,,POINT (-73.184826036 41.611571993)
210950,2021,07/22/2022,Fairfield,128 STONYBROOK ROAD,443870,750000,0.5918,Residential,Single Family,,,,POINT (-73.250013019 41.167186997)
210451,2021,06/23/2022,Branford,14 MANORWOOD DR,119200,210000,0.5676,Residential,Condo,,,,POINT (-72.799082972 41.290726988)
211032,2021,03-01-2022,Bridgeport,122 GLENDALE AVE,143730,270000,0.5323,Residential,Single Family,,,,POINT (-73.214630994 41.213972015)
210115,2021,02-11-2022,Mansfield,267 MAPLE RD,148600,207000,0.7178,Residential,Single Family,01 - Family,,,POINT (-72.250409039 41.792184991)
210137,2021,11/18/2021,Middletown,DURWIN ST,1410,2400,0.5875,Vacant Land,,25 - Other,SALE COMBINED W R02373,,POINT (-72.656924973 41.536534995)
210635,2021,02/14/2022,Danbury,262 GREAT PLAIN RD,144200,365000,0.395,Residential,Two Family,,J03133,,POINT (-73.444008982 41.452612007)
210154,2021,11-01-2021,Danbury,13 CEL BRET DR,220800,415000,0.532,Residential,Single Family,,D19009,,POINT (-73.500338976 41.367654)
210036,2021,05/25/2022,Morris,53 TODD HILL RD,4640,150000,0.0309,Vacant Land,,28 - Use Assessment,,,POINT (-73.233848471 41.654619211)
211125,2021,03/14/2022,Bridgeport,887 PLATTST,137530,125000,1.1002,Residential,Single Family,25 - Other,SOLD BELOW MARKET VALUE,,POINT (-73.206651003 41.213038019)
210127,2021,11/29/2021,Glastonbury,147 INDIAN HILL TRL,183300,340000,0.5391,Residential,Single Family,,,,POINT (-72.524695002 41.737665991)
210409,2021,01-11-2022,New Britain,145-2A BASSETT ST,63350,92000,0.688586957,Residential,Condo,,,,POINT (-72.78013897 41.661128794)
210564,2021,12/14/2021,Bridgeport,228 DEFOREST AVE,78230,198000,0.3951,Residential,Single Family,,,,POINT (-73.167912026 41.170222021)
210708,2021,03-07-2022,Danbury,9A FRANKLIN ST,147500,380000,0.388157895,Residential,Two Family,,H13301,,POINT (-73.458947965 41.399426987)
210202,2021,03/14/2022,Harwinton,611 SOUTH RD,161270,265000,0.6085,Residential,Single Family,,,,POINT (-73.054039009 41.72965)
210541,2021,03/14/2022,Hamden,177 GRANDVIEW AVE,110390,215000,0.51344186,Residential,Single Family,,,,POINT (-72.930062028 41.358112)
21319,2021,05-12-2022,Guilford,PEDDLERS RD,128770,2600,49.5269,Vacant Land,,06 - Portion of Property,MAP 72 LOT 12-B ID#8689,,POINT (-72.707643679 41.294636762)
21002,2021,10-04-2021,Deep River,35 CEDAR LAKE RD,123410,170000,0.7259,Residential,Single Family,,,,POINT (-72.494164003 41.361770994)
211529,2021,09/19/2022,Danbury,42 MIRY BROOK RD 23,5300,29000,0.1827,Residential,Single Family,25 - Other,RATIO TOO LOW / F19044-18 / MOBILE HOME,,POINT (-73.483595035 41.36598202)
210244,2021,05-02-2022,New Canaan,97 FOREST ST-UNIT B,665000,1395000,0.4767,Residential,Condo,,,,POINT (-73.492516984 41.15114898)
2100408,2021,05-10-2022,Naugatuck,128 BEACON MANOR ROAD,88300,245000,0.360408163,Residential,Single Family,,MOBILE HOME,,POINT (-73.023719989 41.464557015)
210153,2021,12/13/2021,Glastonbury,999 NEIPSIC RD,281600,460000,0.6121,Residential,Single Family,,,,POINT (-72.546326012 41.700485)
210291,2021,09/19/2022,Clinton,8 EGYPT LN,196900,440000,0.4475,Residential,Single Family,,,,POINT (-72.540553982 41.309332005)
210147,2021,02-04-2022,Killingly,121 RIVER ST,81900,170000,0.4817,Residential,Single Family,,,,POINT (-71.889793999 41.811084003)
2100630,2021,08/30/2022,Naugatuck,362 HILLSIDE AVE,106470,120000,0.8872,Residential,Two Family,26 - Rehabilitation Deferred,,,POINT (-73.057875993 41.498971014)
210192,2021,01-05-2022,Glastonbury,76 RIDGECREST RD,237600,475000,0.5002,Residential,Single Family,,,,POINT (-72.559012022 41.726753005)
21356,2021,08-05-2022,Bethel,14 HUNTING RIDGE LANE,74454,614535,0.1211,Residential,Condo,07 - Change in Property,,,POINT (-73.41074286 41.383707479)
210174,2021,05/17/2022,Derby,137-139 PARK AVE,155820,168000,0.9275,Residential,Two Family,01 - Family,,,POINT (-73.103869005 41.329151015)
21006,2021,10-12-2021,Burlington,29 COVEY RD UNIT 21,0,327400,0,Residential,Condo,07 - Change in Property,NOT BUILT AS OF OCT 1 2021,,POINT (-72.963717968 41.772190003)
210247,2021,07/28/2022,Mansfield,27 HAWTHORNE LA,253800,457000,0.5553,Residential,Single Family,,,,POINT (-72.182570022 41.764311014)
210155,2021,11-04-2021,Bristol,58 FAIRLAWN ST,152110,350000,0.4346,Residential,Single Family,,,,POINT (-72.93648902 41.689050995)
21112,2021,01-06-2022,Darien,54 STONY BROOK ROAD,1511930,3500000,0.4319,Residential,Single Family,,,,POINT (-73.481614978 41.081169015)
210251,2021,11/18/2021,Danbury,55 CROSS ST C6,106300,205000,0.5185,Residential,Condo,,K13133-24,,POINT (-73.428082025 41.397567001)
210499,2021,02-04-2022,New Britain,44 GOLD ST,392420,1375000,0.2853,Commercial,,,,,POINT (-72.789858017 41.672680006)
211154,2021,06/22/2022,Danbury,1405 BRIAR WOODS LA,167400,420000,0.3985,Residential,Condo,,C16028-1405,,POINT (-73.51283698 41.382838991)
21061,2021,11-12-2021,Guilford,173 WHITFIELD ST,368410,810000,0.4548,Residential,Two Family,,,,POINT (-72.67942703 41.279005986)
210027,2021,11-09-2021,Mansfield,9B WHITE OAK CONDOS,39300,64000,0.614,Residential,Condo,,,,POINT (-72.250207217 41.772369678)
2021333,2021,05/25/2021,Wilton,27 VILLAGE WALK,192710,301000,0.6402,Residential,Condo,,,,
210895,2021,02-03-2022,Bridgeport,33 BOSTON TERRACE UNIT #19,100050,256000,0.390820313,Residential,Condo,,,,POINT (-73.163094024 41.19389501)
211298,2021,09-02-2022,Bristol,16 PRINCE ST,123830,300000,0.4127,Residential,Three Family,,,,POINT (-72.937793998 41.674314016)
210082,2021,03/17/2022,Brooklyn,605 WOLF DEN RD,143240,150000,0.9549,Residential,Single Family,01 - Family,,,POINT (-71.982469015 41.815332999)
210987,2021,02/18/2022,Bridgeport,563 SHELTON ST #565,30060,455000,0.066,Residential,Single Family,07 - Change in Property,,,POINT (-73.178854013 41.190987998)
21428,2021,09/19/2022,Darien,78 MIDDLESEX ROAD,550200,1211000,0.4543,Residential,Single Family,,,,POINT (-73.507262009 41.077394016)
21042,2021,10/26/2021,Monroe,20 WHITETAIL DR,133100,210000,0.6338,Vacant Land,,,,,POINT (-73.20405102 41.355364999)
210185,2021,04-07-2022,Berlin,95 SOUTH RIDGE LANE UNIT C-203,146700,292000,0.50239726,Residential,Condo,,,,POINT (-72.763540015 41.581972014)
211170,2021,08/19/2022,Hamden,24 WILKINS ST,152600,235000,0.6493,Residential,Single Family,,,,POINT (-72.918409003 41.341450997)
210309,2021,09/26/2022,Ellington,80 STAFFORD RD,120300,125000,0.9624,Residential,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,POINT (-72.383875005 41.928697988)
210315,2021,03/31/2022,Branford,216 JEFFERSON WOODS,102600,220000,0.4663,Residential,Condo,,,,POINT (-72.845535681 41.275384189)
210073,2021,12/21/2021,Mansfield,22 PUDDIN LA,137300,280000,0.4903,Residential,Single Family,,,,POINT (-72.197535994 41.744936999)
210161,2021,12/20/2021,Branford,186 DAMASCUS RD,367700,525000,0.7003,Residential,Single Family,07 - Change in Property,NEEDS UPDATING PER REALTOR,,POINT (-72.781586001 41.286252016)
21245,2021,05/25/2022,Darien,289 WEST AVE,447790,1419000,0.3155,Residential,Single Family,07 - Change in Property,addition/renovation-partial complete on 10/1/120,,POINT (-73.497325011 41.07056398)
210575,2021,02-01-2022,Danbury,4 FRANCIS RD,176200,360000,0.4894,Residential,Single Family,,J15368,,POINT (-73.434654024 41.385921017)
210682,2021,01-11-2022,Middletown,1705 COUNTRY CLUB RD,257530,450000,0.5722,Residential,Single Family,,,,POINT (-72.747304017 41.562958002)
21103,2021,05/25/2022,Haddam,11 DEPOT HILL RD,130420,365000,0.357315068,Residential,Single Family,,,,POINT (-72.54988304 41.499872991)
210227,2021,04-05-2022,Killingly,18 POTTER ST,49980,184000,0.2716,Residential,Single Family,07 - Change in Property,,,POINT (-71.881020997 41.805482)
21010,2021,10-12-2021,Lebanon,102 SPAFFORD RD,130340,295000,0.4418,Residential,Single Family,,,,POINT (-72.319528978 41.629537009)
210394,2021,08-02-2022,Killingly,15 CONRADS PARK,4410,6300,0.7,Residential,Single Family,25 - Other,,ALSO SEE SAME DAY SALE #210395,POINT (-71.876217601 41.835108527)
212025,2021,08-05-2022,Bridgeport,205 MARION #207,178520,490000,0.3643,Residential,Two Family,,,,POINT (-73.205511986 41.197943008)
211021,2021,05/26/2022,Danbury,73 WARRINGTON RN,304800,680000,0.4482,Residential,Condo,,B15001-39-73,,POINT (-73.456510577 41.384901068)
210774,2021,01/19/2022,Bridgeport,463 CONNECTICUT AVE #465,107421,212000,0.50670283,Residential,Three Family,07 - Change in Property,,,POINT (-73.16860303 41.179428013)
21008,2021,11-01-2021,Canterbury,185 KINNE RD,173800,272774,0.6371,Residential,Single Family,14 - Foreclosure,,,POINT (-72.017724976 41.68182198)
210050,2021,11/29/2021,Coventry,94 STONEHOUSE RD #25,230900,419900,0.5498,Residential,Condo,,,,POINT (-72.300402984 41.770087989)
21047,2021,12-07-2021,East Haddam,6 PETTICOAT LANE,212390,440000,0.4827,Residential,Single Family,,,,POINT (-72.435537033 41.455936982)
210955,2021,05-10-2022,Danbury,8 SIXTH ST,169400,345000,0.491,Residential,Single Family,,J11119,,POINT (-73.443939999 41.407840993)
210106,2021,02/24/2022,Litchfield,20 FLOREN POND RD,227170,600000,0.3786,Residential,Single Family,,,,POINT (-73.240893005 41.758001997)
210025,2021,10/21/2021,Cromwell,2304 CROMWELL HILLS DRIVE,45430,100000,0.4543,Residential,Condo,,,,POINT (-72.678000011 41.608967987)
2100599,2021,08-12-2022,Naugatuck,18 BRIDGE STREET 1-J,30240,102000,0.2964,Residential,Condo,,,,POINT (-73.054964958 41.500301013)
218178,2021,05/20/2022,Middletown,85 LORELEI CIRCLE,170410,340000,0.5012,Residential,Single Family,,,,POINT (-72.660411006 41.538420986)
210299,2021,09/19/2022,Mansfield,147 COVENTRY RD,286100,592500,0.4828,Residential,Single Family,,,,POINT (-72.254748015 41.761160005)
211098,2021,08-04-2022,Hamden,161 WESTMINSTER ST,126350,300000,0.4211,Residential,Single Family,,,,POINT (-72.912461959 41.386131989)
210013,2021,10-05-2021,Danbury,12 BOULEVARD 24-142,193300,410100,0.4713,Residential,Condo,,E16006-142,,POINT (-73.498683969 41.378973006)
210074,2021,11-09-2021,Branford,7 TOOLE DR,172200,307500,0.56,Residential,Single Family,,,,POINT (-72.807423972 41.271733009)
211156,2021,09-01-2022,New Britain,757 WEST MAIN ST,209650,289900,0.7231,Commercial,,,,,POINT (-72.808002994 41.666880986)
210382,2021,05/17/2022,Branford,123 CEDAR ST,124900,260000,0.4803,Residential,Single Family,,,,POINT (-72.817425007 41.285368982)
210051,2021,10/13/2021,Bristol,8 MARION ST,78330,150000,0.5222,Residential,Single Family,,,,POINT (-72.890919965 41.66861801)
210325,2021,08-10-2022,Cromwell,11 CATHERINE STREET,125650,247500,0.5076,Residential,Single Family,01 - Family,,,POINT (-72.657109961 41.599872993)
210284,2021,12/13/2021,New Britain,60 HENRY ST,116550,235000,0.4959,Residential,Single Family,,,,POINT (-72.766387012 41.660847986)
21325,2021,05-03-2022,Farmington,9 GRANDVIEW UNIT 41A,67670,35000,1.9334,Residential,Condo,08 - Part Interest,QUARTER INTEREST,,POINT (-72.850091263 41.740976913)
2100490,2021,06/22/2022,Naugatuck,14 WESTVIEW DRIVE,120630,340000,0.3547,Residential,Single Family,,,,POINT (-73.075473967 41.497856011)
210626,2021,12/22/2021,Bridgeport,928 HANCOCK AVE #936,334550,690000,0.484855072,Apartments,,,,,POINT (-73.21397796 41.172434991)
210174,2021,12/23/2021,Glastonbury,24 PEARL ST,134200,240000,0.5591,Residential,Single Family,,,,POINT (-72.615541002 41.720741001)
21134,2021,01-10-2022,Bethel,2 TURNAGE LANE,472430,1300000,0.363407692,Commercial,,23 - Zoning,CREMATORY APPROVAL,,POINT (-73.426665987 41.357549993)
210018,2021,10/25/2021,East Hampton,205 EDGEWATER CIRCLE,292160,635000,0.46,Residential,Single Family,,,,POINT (-72.50529 41.57999)
210670,2021,04/26/2022,Hamden,26 JOSEPH LA,158060,353055,0.4476,Residential,Single Family,,,,POINT (-72.951171013 41.35572102)
218057,2021,04-05-2022,Middletown,23 CLINTON AVE,140090,320000,0.4377,Residential,Three Family,,,,POINT (-72.655209029 41.565067014)
218315,2021,07-08-2022,Middletown,104 MORNING GLORY DR,155540,363000,0.4284,Residential,Single Family,,,,POINT (-72.689874988 41.595554008)
210195,2021,06/14/2022,Coventry,210 RICHMOND RD,107600,235000,0.4578,Residential,Single Family,,,,POINT (-72.324714024 41.796864021)
211072,2021,03-03-2022,Bridgeport,84 VELVET ST,147750,321000,0.4602,Residential,Single Family,,,,POINT (-73.161488973 41.197203012)
211152,2021,06/20/2022,Danbury,286-290 WHITE ST,1180400,2400000,0.4918,Commercial,,25 - Other,2 PARCELS SOLD TOGETHER / K13100 & K13099,,POINT (-73.432559973 41.399028009)
210069,2021,01/18/2022,Essex,120 NORTH MAIN ST SX,292600,700000,0.418,Residential,Two Family,,,,POINT (-72.401061008 41.361629004)
21155,2021,02-01-2022,Bethel,72 WOLFPITS ROAD,457730,815000,0.5616,Residential,Single Family,,,,POINT (-73.380942034 41.362382998)
210117,2021,02-11-2022,Derby,68 COTTAGE ST,192710,315000,0.6117,Residential,Two Family,,,,POINT (-73.091088027 41.325175982)
210944,2021,06/22/2022,New Britain,402 CHURCH ST,128940,158764,0.8121,Residential,Two Family,14 - Foreclosure,,,POINT (-72.771203002 41.667700988)
21551,2021,09-08-2022,Farmington,18 LAKE GARDA DR,148850,312000,0.477,Residential,Single Family,,,,POINT (-72.893177966 41.739454019)
2121053,2021,11/22/2021,Ansonia,55 PROSPECT ST,88800,240000,0.37,Residential,Single Family,,,,POINT (-73.07591804 41.347501013)
210169,2021,08/31/2022,Brooklyn,196 PRESTON RD,186300,335000,0.5561,Residential,Single Family,,,,POINT (-72.021208998 41.763451994)
210046,2021,11/16/2021,Clinton,74 WEST MAIN ST,172500,120000,1.4375,Residential,Single Family,01 - Family,,,POINT (-72.534763009 41.278484003)
210068,2021,11-05-2021,Branford,9 LUISA CT,262300,562661,0.466177681,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.848076035 41.258634986)
210082,2021,01-10-2022,Litchfield,BLUE SWAMP RD,103350,2350000,0.043978723,Vacant Land,,28 - Use Assessment,,,POINT (-73.288331974 41.765896758)
210013,2021,12/31/2021,Morris,20 ESTHERS LN EXT,241920,436000,0.5548,Residential,Single Family,,,,POINT (-73.195625028 41.696890002)
21301,2021,06/30/2022,Bethel,61 HIDDEN BROOK TRAIL UNIT 29,279230,532500,0.5243,Residential,Condo,,,,POINT (-73.433616009 41.370841009)
210177,2021,03-02-2022,Bloomfield,30 BILTMORE PARK,159460,380000,0.4196,Residential,Condo,,,,POINT (-72.767495222 41.809298078)
210023,2021,10-05-2021,Bridgeport,186 CEDAR ST #188,148770,401000,0.3709,Residential,Two Family,,,,POINT (-73.177883976 41.180215995)
211588,2021,05/18/2022,Bridgeport,386 HUNTINGTON RD #388,143611,315000,0.4559,Residential,Three Family,,,,POINT (-73.18248497 41.198254019)
210069,2021,01/24/2022,Brooklyn,64 HYDE RD,178510,471000,0.379,Residential,Single Family,07 - Change in Property,,,POINT (-71.945818976 41.79753298)
210099,2021,12/16/2021,Bloomfield,72 TARIFFVILLE ROAD,269710,390000,0.6915,Vacant Land,,24 - Plottage,ONE SALES PRICE FOR 3 PARCELS,,POINT (-72.75822899 41.897976008)
210133,2021,08/15/2022,Easton,115 BEERS ROAD,306320,560000,0.547,Residential,Single Family,,,,POINT (-73.277481018 41.233526995)
21083,2021,11/15/2021,Farmington,9 GRANDVIEW DR UNIT 43B,53460,104900,0.5096,Residential,Condo,,,,POINT (-72.850091263 41.740976913)
21162,2021,01/19/2022,Guilford,43 MOUNTAIN TR,118190,150500,0.7853,Residential,Single Family,,,,POINT (-72.727721041 41.337168012)
10975,2021,07/23/2002,Manchester,9 3 OAK FOREST DR,76500,139000,0.550359712,,,,,,
21000530,2021,09/22/2022,Cheshire,486 OAK AVE U51,55930,127000,0.4403,Residential,Condo,,,,POINT (-72.916443028 41.494626003)
210196,2021,03/29/2022,Ledyard,10 JESSICA LN,177800,281703,0.6311,Residential,Single Family,25 - Other,TRIBE TO MEMBER,,POINT (-71.957222974 41.458195989)
210134,2021,10/20/2021,Bridgeport,127 KENNEDY DR,70850,129000,0.5492,Residential,Condo,,,,POINT (-73.22247503 41.214785018)
210399,2021,12/16/2021,Danbury,104 COALPIT HILL RD A-4,111000,270000,0.4111,Residential,Condo,,K17015-4,,POINT (-73.434450276 41.3796079)
210505,2021,03/23/2022,Fairfield,89 FIELD POINT DRIVE,520170,965000,0.539,Residential,Condo,,,,POINT (-73.265749036 41.128620981)
210061,2021,10/28/2021,Glastonbury,318 GRISWOLD ST,158700,360000,0.4408,Residential,Single Family,,,,POINT (-72.600044959 41.724001016)
210482,2021,03/14/2022,Fairfield,247 BENNETT STREET,238280,400000,0.5957,Residential,Single Family,,,,POINT (-73.241674031 41.204373018)
210283,2021,08/29/2022,Ellington,7 HEATHER RD,130170,136000,0.9571,Residential,Single Family,01 - Family,INTER FAMILY,,POINT (-72.482400002 41.894092002)
210975,2021,06-10-2022,Bristol,410 EMMET ST GARAGE G-Q,0,26000,0,Residential,Condo,25 - Other,SALE OF A ONE CAR DETACHED GARAGE WITHIN A CONDOMINIUM COMPLEX,,POINT (-72.909248002 41.661366993)
210066,2021,01/26/2022,Brooklyn,349 DAY ST,207300,389900,0.5316,Residential,Single Family,07 - Change in Property,,,POINT (-71.919353032 41.815934988)
211526,2021,05-09-2022,Bridgeport,80 CARTRIGHT ST #3L,34700,99000,0.3505,Residential,Condo,,,,POINT (-73.218964018 41.178571005)
210352,2021,12/23/2021,New Britain,130 JUDD AVE,90580,202100,0.4484,Residential,Single Family,,,,POINT (-72.757440001 41.676039012)
210629,2021,05-03-2022,Fairfield,78 WEBSTER ST & 81 CHAMBERS ST,596820,970000,0.6152,Commercial,,25 - Other,SALE INCLUDES ADDITIONAL LOT,,POINT (-73.232495009 41.165603991)
218337,2021,07/18/2022,Middletown,190 CARRIAGE CROSSING,72190,165000,0.4375,Residential,Condo,,,,POINT (-72.708696764 41.587792696)
210028,2021,12-08-2021,Kent,391 KENT CORNWALL RD,375300,1040000,0.3608,Residential,Single Family,,,,POINT (-73.423174002 41.770411991)
210713,2021,01-06-2022,Bridgeport,726 BROOKS ST,57213,139900,0.4089,Residential,Single Family,,,,POINT (-73.178983011 41.196024013)
21426,2021,06/30/2022,Farmington,24 BURNT HILL ROAD,260560,520500,0.500595581,Residential,Single Family,,,,POINT (-72.77964098 41.731754989)
211313,2021,08-01-2022,Danbury,64 MOORLAND DR,274500,565000,0.4858,Residential,Condo,,B15004-17,,POINT (-73.524163975 41.386779813)
21000036,2021,11/16/2021,Granby,24 MEETING HOUSE RD,353850,469000,0.7544,Residential,Single Family,,,,POINT (-72.810383035 41.971523982)
210387,2021,12/15/2021,Danbury,10 BELAIR DR,360500,575000,0.6269,Residential,Single Family,,D06101,,POINT (-73.511455978 41.436639997)
